GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
La resistencia,es.us.dp1.lx_xy_24_25.your_game_name.model,NamedEntity,13,0,0,0,5,0,4,0,4,0
La resistencia,es.us.dp1.lx_xy_24_25.your_game_name.model,Person,6,11,0,0,2,5,2,3,2,3
La resistencia,es.us.dp1.lx_xy_24_25.your_game_name.model,BaseEntity,7,10,2,0,1,4,2,3,1,3
La resistencia,es.us.dp1.lx_xy_24_25.your_game_name.profile,ProfileRestController,35,3,4,0,8,1,4,1,2,1
La resistencia,es.us.dp1.lx_xy_24_25.your_game_name.profile,ProfilePutDTO,4,27,0,0,0,6,1,8,1,8
La resistencia,es.us.dp1.lx_xy_24_25.your_game_name.profile,ProfileService,8,67,8,10,1,13,7,5,0,3
La resistencia,es.us.dp1.lx_xy_24_25.your_game_name.auth.payload.request,LoginRequest,0,17,0,0,0,4,0,5,0,5
La resistencia,es.us.dp1.lx_xy_24_25.your_game_name.auth.payload.request,SignupRequest,0,59,0,0,0,10,0,17,0,17
La resistencia,es.us.dp1.lx_xy_24_25.your_game_name,GameApplication,5,3,0,0,2,1,1,1,1,1
La resistencia,es.us.dp1.lx_xy_24_25.your_game_name,GameInitializer,12,0,0,0,2,0,2,0,2,0
